experiment_id,score,dimension,bucket,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,volatility,low,119106,1434,0.038976416646567084,0.04569817560811955,0.1769765751050784,0.2202348905408818,0.5899581589958159,0.017706476323412216,8.339897220863618
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,volatility,mid,118636,1434,0.021714246672489543,0.02485244067792628,0.1605270118412051,0.13526849109961311,0.5753138075313807,0.011375284282237007,5.122373254398883
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,volatility,high,119577,1434,0.03815616077524331,0.036636285754710674,0.16583756061561553,0.23008153661692526,0.5885634588563459,0.023983730536886808,8.712771909532345
F_REGIME_INTERACTIONS,lgbm_regime_interactions,market_regime,neutral,200979,804,0.07926145148758439,0.07277789199647552,0.20320906193937222,0.39004880358747085,0.6430348258706468,0.04120181527191178,11.059792385968825
F_REGIME_INTERACTIONS,lgbm_regime_interactions,market_regime,risk_off,82185,333,0.02744249225623069,0.0455863064388029,0.14695961720321843,0.18673491928250405,0.6126126126126126,0.008508469631462866,3.4075925103296343
F_REGIME_INTERACTIONS,lgbm_regime_interactions,market_regime,risk_on,74155,297,0.05035553769318151,0.07265415243296355,0.2731124646039921,0.184376563574995,0.6127946127946128,0.0001281030950656436,3.1774881600298808
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,consumer,24685,197,0.07351052072926086,0.062337662337662345,0.23244112303205455,0.31625436915103644,0.5989847715736041,0.08815807425832367,4.438841597016348
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,cyclical_manufacturing,125839,1434,0.07495474249308239,0.06983848147651815,0.22319283009473537,0.3358295266979116,0.6206415620641562,0.049553043816732506,12.717257149915365
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,defensive,18436,0,,,,,,,
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,finance_real_estate,63024,1434,0.0921636564855475,0.10817047245050937,0.3372876121662081,0.27324945583869004,0.6143654114365411,0.07558684566081766,10.347462982612939
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,healthcare,33513,860,0.025570467894229815,0.024815121764630882,0.23507803468340838,0.10877438178631565,0.541860465116279,0.027228511049035124,3.1898910442797
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,other,21075,382,-0.03428297638346599,-0.07266042780748663,0.24600621387737603,-0.13935817247508486,0.4162303664921466,-0.0661439415079271,-2.723730436368012
F_REGIME_INTERACTIONS,lgbm_regime_interactions,sector,technology,70747,1434,0.013679608633482948,0.007747728440535583,0.22843162033764117,0.05988491704109674,0.5090655509065551,0.0038404348638994825,2.2677335638150486
F_REGIME_INTERACTIONS,lgbm_regime_interactions,market_cap,small,119106,1434,0.07956182968138233,0.07979593338724711,0.20233468133108334,0.3932189437716517,0.6645746164574616,0.03392791332479397,14.89049064068881
F_REGIME_INTERACTIONS,lgbm_regime_interactions,market_cap,mid,118636,1434,0.07070365825564985,0.07286211614847626,0.22311001901684874,0.31690041786205253,0.6304044630404463,0.05026247236141289,12.000446013469656
F_REGIME_INTERACTIONS,lgbm_regime_interactions,market_cap,large,119577,1434,0.04224874844804174,0.05617905225236991,0.2623330902156707,0.16105001627247242,0.5829846582984658,0.0016528642726301704,6.098673011493192
F_REGIME_INTERACTIONS,lgbm_regime_interactions,volatility,low,119106,1434,0.03991980986265893,0.04275329167053832,0.1788514551808824,0.22320092292391924,0.5878661087866108,0.017109184338308516,8.452215505979725
F_REGIME_INTERACTIONS,lgbm_regime_interactions,volatility,mid,118636,1434,0.029326607192969863,0.027017000077516805,0.16428338373869378,0.17851231527843522,0.5781032078103208,0.01655792627620129,6.759938711001804
F_REGIME_INTERACTIONS,lgbm_regime_interactions,volatility,high,119577,1434,0.04464291852567481,0.04308300754786232,0.16692780990703404,0.26743847265795606,0.6143654114365411,0.03037021626403332,10.127411553157476
G1_RIDGE_GEN2,ridge_gen2,market_regime,neutral,200979,804,0.06525632108368308,0.0385323895464544,0.184466310557969,0.35375739280683516,0.599502487562189,0.03468308915049677,10.030753288973543
G1_RIDGE_GEN2,ridge_gen2,market_regime,risk_off,82185,333,0.021259887646237607,0.011150276009985584,0.17982241499968157,0.11822712783762387,0.5255255255255256,0.00918619007607046,2.1574426298264284
G1_RIDGE_GEN2,ridge_gen2,market_regime,risk_on,74155,297,0.03262237841792866,0.056311584130759484,0.2519001068505593,0.1295052186590854,0.5892255892255892,0.0010684757424992562,2.2318525249221652
G1_RIDGE_GEN2,ridge_gen2,sector,consumer,24685,197,0.013213847101451801,0.0038961038961038965,0.2934478232429877,0.04502963066967498,0.5025380710659898,0.03074574781066604,0.6320209844101102
G1_RIDGE_GEN2,ridge_gen2,sector,cyclical_manufacturing,125839,1434,0.07071984080412827,0.0684825838353437,0.21274850189219546,0.332410523106591,0.6352859135285913,0.0535767202728696,12.587785663906276
G1_RIDGE_GEN2,ridge_gen2,sector,defensive,18436,0,,,,,,,
G1_RIDGE_GEN2,ridge_gen2,sector,finance_real_estate,63024,1434,0.08216445356642732,0.09458365247838933,0.30353500787688653,0.27069185245266053,0.6073919107391911,0.07399114834812212,10.25061116536076
G1_RIDGE_GEN2,ridge_gen2,sector,healthcare,33513,860,0.019175798651338186,0.01387583680687129,0.2224235782277161,0.08621297617874892,0.5290697674418605,0.01722519089841035,2.52826075494081
G1_RIDGE_GEN2,ridge_gen2,sector,other,21075,382,-0.02445850699313999,-0.037628915202444616,0.21485610838657992,-0.11383668435962273,0.43455497382198954,-0.05650689552706713,-2.224917537727879
G1_RIDGE_GEN2,ridge_gen2,sector,technology,70747,1434,0.023594621593807038,0.029431890387814446,0.22786797831089153,0.10354513946499201,0.5543933054393305,0.015376484049843587,3.921067269301375
G1_RIDGE_GEN2,ridge_gen2,market_cap,small,119106,1434,0.06743127091878298,0.062033134231070486,0.21001514606677146,0.3210781326092744,0.6136680613668062,0.03220610360057847,12.158648519550086
